name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,year,month,breach_type_hacking_it_incident,breach_type_improper_disposal,breach_type_loss,breach_type_other,breach_type_theft,breach_type_unauthorized_access_disclosure,breach_type_unknown,primary_breach_type,location_desktop_computer,location_electronic_medical_record,location_email,location_laptop,location_network_server,location_other,location_other_portable_electronic_device,location_paper_films,primary_location,is_mega_breach,breach_size_tier,log_individuals_affected,quarter,days_since_epoch,ba_present,entity_business_associate,entity_health_plan,entity_healthcare_clearing_house,entity_healthcare_provider,region,breach_type_gap,location_gap
Highlands Oncology Group PA,AR,Healthcare Provider,55297,2023-12-22,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Highlands Oncology Group, reported that it experienced a ransomware incident that affected the protected health information (PHI) of 55,297 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, claims information, diagnoses, conditions, lab results, medications, and other treatment information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE implemented additional system monitoring safeguards, revised policies regarding remote access, and implemented additional technical safeguards.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,10.920492020491126,4,3999,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Kent County Community Mental Health Authority d/b/a Network180 ,MI,Healthcare Provider,59334,2023-12-22,Hacking/IT Incident,Email,No,"The covered entity (CE), Kent County Community Mental Health Authority dba Network180, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 59,334 individuals. The PHI involved included names, addresses, dates of birth, drivers’ license and Social Security numbers, claims and financial information, diagnoses/conditions, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards to better protect its PHI.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Medium,10.990954630099239,4,3999,0,False,False,False,True,Midwest,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,1284,2023-12-22,Hacking/IT Incident,Network Server,No,"The covered entity (CE), County of Los Angeles Department of Mental Health, reported that an employee was the subject of an email phishing scheme that compromised protected health information (PHI) of 1,284 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, and treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff were retrained on email security.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.158513997329321,4,3999,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Clay County Social Services,MN,Business Associate,123847,2023-12-22,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Clay County Social Services, reported that it experienced a ransomware attack that affected the protected health information (PHI) of 123,847 individuals. The PHI involved included names, dates of birth, drivers’ license numbers, Social Security numbers, claims and financial information, diagnoses/conditions, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, Clay County provided complimentary credit monitoring and implemented additional technical safeguards.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,11.726810286220301,4,3999,1,True,False,False,False,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
NYC Health + Hospitals,NY,Healthcare Provider,3000,2023-12-22,Unauthorized Access/Disclosure,"Desktop Computer, Paper/Films",No,"The covered entity (CE), NYC Health + Hospitals, reported that an employee allowed a volunteer to view the protected health information (PHI) of 3,000 individuals. The PHI involved included names, dates of birth, and lab results. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE sanctioned the employee involved in the breach and retrained workforce members to better protect its PHI.",2023,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,True,False,False,False,False,False,False,True,Desktop Computer,0,Small,8.006700845440367,4,3999,0,False,False,False,True,Northeast,Administrative Safeguard Failure,Physical/Technical Safeguard Failure
"The Foleck Center, LTD",VA,Healthcare Provider,6965,2023-12-22,Hacking/IT Incident,Email,No,"The Foleck Center, the covered entity (CE), reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 6,965 individuals. The PHI involved included names, birthdates, Social Security and drivers’ license numbers, and health insurance and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its sensitive data and re-trained staff on security awareness.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,True,False,False,False,False,False,Email,0,Small,8.848796450925947,4,3999,0,False,False,False,True,South,Technical Safeguard Failure,Technical/Administrative Safeguard Failure
"Retina Group of Washington, PLLC",MD,Healthcare Provider,455935,2023-12-22,Hacking/IT Incident,Network Server,No,"Retina Group of Washington, the covered entity (CE), reported that it experienced a ransomware incident that affected the protected health information (PHI) of 455,935 individuals. The PHI involved included names, addresses, phone numbers, email addresses, dates of birth, drivers’ license and Social Security numbers, medical record numbers, and treatment and health insurance information. The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its sensitive data. OCR provided technical assistance regarding the HIPAA Rules.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Large,13.030107727769224,4,3999,0,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Fred Hutchinson Cancer Center,WA,Healthcare Provider,1840927,2023-12-22,Hacking/IT Incident,Network Server,No,,2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,1,Mega,14.425780350270637,4,3999,0,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"RevSpring, Inc.",TN,Business Associate,1053,2023-12-22,Unauthorized Access/Disclosure,Network Server,Yes,"The business associate (BA), RevSpring, reported that a software coding error allowed the protected health information (PHI) of 1,053 individuals to be viewable by others. The PHI involved included names, addresses, diagnoses and other treatment information. The BA notified HHS, affected individuals, and the media. In response to the breach, the BA implemented additional administrative, technical, and security safeguards. Workforce members were also retrained on the requirements to protect and secure sensitive data.",2023,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,True,False,False,False,Network Server,0,Small,6.960347729101308,4,3999,1,True,False,False,False,South,Administrative Safeguard Failure,Technical Safeguard Failure
HealthEC LLC,NJ,Business Associate,4786241,2023-12-21,Hacking/IT Incident,Network Server,Yes,"HealthEC, the business associate (BA), reported that it experienced a cybersecurity incident that compromised the protected health information (PHI) of 4,786,241 individuals. The PHI involved included names, addresses birthdates, Social Security and drivers’ license numbers, diagnoses, lab results, medications, and claims and other treatment information. The BA notified HHS, affected individuals, the media, and provided substitute notice. In its mitigation efforts, the BA implemented additional administrative, technical, and security safeguards.",2023,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,1,Mega,15.381256110317556,4,3998,1,True,False,False,False,Northeast,Technical Safeguard Failure,Technical Safeguard Failure
